question,document
Do I need a Dockerfile and to list Streamlit in the compose service to get it working?,e8df9f0d12
What command should I use to rebuild and launch the app after adding the missing steps?,e8df9f0d12
How can I prevent the “runc create failed” error when starting the container?,e8df9f0d12
Is solo work required for the capstone?,0fab61eca2
Can I partner with others if each part is independently assessed?,0fab61eca2
Do I need a separate repository for my component?,0fab61eca2
What counts as an independent qualifying component?,0fab61eca2
Will my submission be rejected if it can't be evaluated alone?,0fab61eca2
"Is it required to turn in just one capstone project, and how do the two submission attempts differ?",d5fc98925d
"If my first submission doesn’t go through, when can I resubmit and does that resubmission count toward the certificate?",d5fc98925d
"Can I submit two projects instead of one, and what conditions must I meet to do that?",d5fc98925d
What happens if I miss the first attempt’s deadline—do I still get a second chance to submit?,d5fc98925d
Do I need to review three classmates' work before my own submission is considered valid for certification?,d5fc98925d
Is the Kaggle math‑Kaggle‑llm‑competition counted as the capstone project?,e892d44e42
Can I submit the competition work instead of the individual capstone?,e892d44e42
Do I still need to complete the capstone if I join a team for the competition?,e892d44e42
Is the capstone meant to be done alone while the competition can be done in groups?,e892d44e42
"If I participate in the competition as a team, does that satisfy the capstone requirement?",e892d44e42
Who will evaluate my capstone submission?,9a2e2d2008
Am I required to grade other students' projects?,9a2e2d2008
What are the consequences of not doing peer reviews?,9a2e2d2008
How does the final grade get derived from the feedback?,9a2e2d2008
When will the official grading rubric be made available?,9a2e2d2008
When exactly is the final day I need to turn in my assignment?,eae0fb50aa
How will the reviewers know which three pieces of work each student should evaluate?,eae0fb50aa
Will there be a spreadsheet that shows the three projects I'm supposed to look at?,eae0fb50aa
"After the cut‑off date passes, who decides which three assignments I’ll be graded on?",eae0fb50aa
Is the list of my assigned projects shared automatically once I submit my work?,eae0fb50aa
I've already submitted my capstone project—why am I not seeing any other projects to review yet?,a8a7fef016
"When will the evaluation list be released after the deadline, and can I access it immediately?",a8a7fef016
Do I have to wait for the system to assign projects before I can start reviewing?,a8a7fef016
"Is it possible to manually pick which submissions to evaluate, or is that only done automatically?",a8a7fef016
"If I submit early, does the review queue open right away or do I need to wait for the official list?",a8a7fef016
Where can I find solid project ideas and datasets for the capstone?,e76a70cde3
Is there a curated list of example projects or data sources provided?,e76a70cde3
How do I access the GitHub page referenced for ideas and tips?,e76a70cde3
What specific guidance does that page offer for picking a project?,e76a70cde3
Can I see examples of successful projects mentioned in the resource?,e76a70cde3
Do I have to use an orchestration platform like Airflow or Mage to get full credit on the ingestion part?,d4f7c08ea1
Will a simple Python script that pulls and indexes my data satisfy the capstone ingestion requirement?,d4f7c08ea1
Can I submit a Jupyter notebook with the same steps and still earn the half‑point for ingestion?,d4f7c08ea1
Is it worth adding an orchestrator just to score higher on the ingestion criterion?,d4f7c08ea1
"Should I pick an orchestrator because it matches my daily‑update data source, or can I skip it altogether?",d4f7c08ea1
What's a good way to build artificial reference data to test a retrieval-augmented generator that shouldn't be a simple Q&A?,9b0e2d6a47
Can I generate multiple likely user questions for each article and then compute hit-rate or MRR on the results?,9b0e2d6a47
"How should I score ranked outputs when there isn't a single correct answer—e.g., using NDCG instead of just exact match?",9b0e2d6a47
Is it feasible to let another LLM judge the relevance or usefulness of each generated response on a fixed rubric?,9b0e2d6a47
Do I need to sample a batch of queries before I can reliably compare different retrieval pipelines?,9b0e2d6a47
I have a huge PDF collection; which chunking approach should I start with?,6f2a8b3d10
"Is plain equal‑token splitting enough, or should I try a smarter section‑based split?",6f2a8b3d10
Will splitting documents into logical parts and indexing those help my retrieval?,6f2a8b3d10
Can adding a short summary to each chunk improve search performance?,6f2a8b3d10
Which PDF‑to‑markdown tools are best for preprocessing before chunking?,6f2a8b3d10
"Hey, when reviewers talk about ""reproducibility"" for a capstone, do they actually need to clone my repo and rebuild everything on their own, or can they just run the model with the keys I provide?",e5d8a2c761
Is it okay to push my API credentials directly in the repository so the reviewers can test the whole pipeline without setting anything up themselves?,e5d8a2c761
"What’s the minimum I have to include so a reviewer can run the project from scratch – like a notebook, a .env.example file, or something else?",e5d8a2c761
"If I use an expensive API endpoint like gpt‑4o, will reviewers get billed when they follow my README, or should I force them to use a cheaper model instead?",e5d8a2c761
"Do I need to lock the library versions and specify a Python/Docker version, or can they run the code even if they have different environments?",e5d8a2c761
"Do I have to stick with Python for the homework, or can I try JavaScript?",ea815eb858
Is it okay to do the capstone project in Go if I’m more comfortable with it?,ea815eb858
"Can I submit the assignment in Rust instead of Python, and what extra steps do I need to add?",ea815eb858
What kind of documentation do I need to include if I use a language other than Python?,ea815eb858
Will using Scala change how the reviewers grade my project?,ea815eb858
Where do I locate past LLM Zoomcamp project repos?,930286278d
Can I browse examples of earlier capstone submissions?,930286278d
Any links to previous 2024‑2025 Zoomcamp project pages?,930286278d
Where’s the collection of submitted LLM Zoomcamp projects?,930286278d
Looking for archived Zoomcamp project repositories—where are they?,930286278d
Do I need to announce or hold off on sharing my project idea before I begin?,897a350476
Is there any step I should take to reserve my idea before starting?,897a350476
Where can I look at past projects to get a feel for the expected scope?,897a350476
Can I ask for feedback on my idea in Slack instead of announcing it officially?,897a350476
Is it okay to work on a topic similar to previous projects if my implementation is unique?,897a350476
Is it fine if my capstone shows up as a WhatsApp bot instead of a regular web app?,7318a90b14
Can I turn in a Slack application for the final project rather than the required website?,7318a90b14
Do the evaluation guidelines let me deliver the work through a CLI tool or a notebook?,7318a90b14
"Do I have to follow the course’s tutorial steps to build the interface, or can I figure it out on my own?",7318a90b14
Will using an AI assistant to help create my interface change how the project is assessed?,7318a90b14
Which open‑source libraries or APIs are popular for pulling text out of regular PDF files?,d8b28c47a0
What's the best way to handle PDFs that are just scanned images without any embedded text?,d8b28c47a0
Can anyone recommend a tool that converts PDFs into clean Markdown or JSON ready for a RAG pipeline?,d8b28c47a0
Is there an easy‑to‑install OCR engine I can run locally to extract words from image‑only PDFs?,d8b28c47a0
When would it make sense to use a cloud‑based OCR service instead of a self‑hosted solution?,d8b28c47a0
Can I take the slides and notes from this workshop and plug them into my own side project?,d850a0e7ea
Is it fine to post the dlt workshop material publicly or share it with a study group?,d850a0e7ea
Do I need to ask permission before using the exercises in a different online course?,d850a0e7ea
Can I adapt the examples for a project that isn’t directly related to the Zoomcamp?,d850a0e7ea
Are there any hidden rules about remixing the content for other data‑engineering classes?,d850a0e7ea
"I want to start a new dlt project that pulls data from a cloud bucket, what command do I run?",6bceeebf04
Can I bootstrap a dlt pipeline that reads from a filesystem using duckdb?,6bceeebf04
Which CLI command creates a new dlt repo that’s set up for cloud storage ingestion?,6bceeebf04
How do I initialize a dlt project that connects to a local duckdb database for file‑based data?,6bceeebf04
What’s the first step to set up a dlt workflow that loads data from the cloud into duckdb?,6bceeebf04
I keep getting a FileNotFoundError for notion_pages___homework when I try to open the table after calling db.open_table—what am I missing?,0407213397
Why is the pipeline still referencing employee_handbook instead of the new homework name in my settings?,0407213397
Do I need to replace every occurrence of employee_handbook with homework throughout my entire project?,0407213397
Is there a simple checklist to confirm all table name changes are reflected before running db.open_table?,0407213397
What triggers the error when the new table isn’t created after I update the pipeline settings?,0407213397
Question: Why does the script raise FileNotFoundError for notion_pages___homework and how do I open that table?,e95bfafc0e
Rephrased question: What steps do I need to take so that the script finds the notion_pages___homework table?,e95bfafc0e
Question: I get a Table does not exist error; do I need to open the table before creating it?,e95bfafc0e
Rephrased question: Should I call db.open_table before calling db.create_table for notion_pages___homework?,e95bfafc0e
Question: My code crashes at main() with a missing notion_pages___homework table—how do I fix it?,e95bfafc0e
Rephrased question: Which line of code creates the notion_pages___homework table correctly?,e95bfafc0e
Question: The error mentions Table notion_pages___homework does not exist—what should I check in the code?,e95bfafc0e
Rephrased question: How can I verify that the table name matches the one opened with db.open_table?,e95bfafc0e
What method should I use to retrieve the list of table names from my database?,e394e6f738
How can I programmatically obtain all table names that exist in the database?,e394e6f738
Is there a function like db.table_names() to show every table in the database?,e394e6f738
Can I call a method to output the names of all tables stored in the database?,e394e6f738
Which API call or function returns the complete set of table names in the DB?,e394e6f738
Is there a DLT connector for ClickHouse?,cd19f122f3
Can I directly link DLT to StarRocks?,cd19f122f3
Do I need to build my own integration to use ClickHouse with DLT?,cd19f122f3
Will DLT ever support StarRocks out of the box?,cd19f122f3
Are community PRs welcome to add ClickHouse or StarRocks connectors?,cd19f122f3
I keep hitting a 401 Unauthorized error when my notebook tries to call https://api.notion.com/v1/search—what’s wrong with my API key?,0dfba07ace
Why am I getting a 401 error even though I think I’m using the correct Notion API endpoint?,0dfba07ace
My access token keeps expiring; how can I check and refresh it in my code?,0dfba07ace
I’ve double‑checked my configurations but still see a 401—what else could be causing it?,0dfba07ace
Where should I look in the official Notion API docs to troubleshoot authentication issues?,0dfba07ace
Why does pip install requests 2.28 instead of the 2.32 needed for lancedb?,4b30b918bc
"I keep getting a version mismatch error with lancedb, how can I upgrade requests?",4b30b918bc
Can I force pip to download requests 2.32 from the GitHub archive instead of the default package?,4b30b918bc
"The error says v2.28 is installed but I need v2.32, what’s the exact command to install that version?",4b30b918bc
How do I install the specific requests version from the GitHub URL provided in the FAQ?,4b30b918bc
